Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
18498558,"Bird Box (Bird Box, #1)",Josh Malerman,"Malerman, Josh",,"=""""","=""""",0,4.01,Ecco,Hardcover,262,2014,2014,,2020/10/17,"to-read, post-apocalyptic","to-read (#254), post-apocalyptic (#7)",to-read,,,,0,,,0,,,,,
13330370,"The Last Policeman (The Last Policeman, #1)",Ben H. Winters,"Winters, Ben H.",,"=""1594745765""","=""9781594745768""",0,3.78,Quirk Books,Paperback,316,2012,2012,,2020/10/17,"to-read, post-apocalyptic","to-read (#253), post-apocalyptic (#6)",to-read,,,,0,,,0,,,,,
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0385353308""","=""9780385353304""",0,4.05,Knopf,Hardcover,333,2014,2014,,2020/09/22,"to-read, post-apocalyptic","to-read (#188), post-apocalyptic (#5)",to-read,,,,0,,,0,,,,,
13453029,"Wool Omnibus (Silo, #1)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",0,4.21,Broad Reach Publishing,Kindle Edition,509,2012,2012,,2020/10/17,"to-read, post-apocalyptic","to-read (#252), post-apocalyptic (#4)",to-read,,,,0,,,0,,,,,
40940649,I Am Legend,Richard Matheson,"Matheson, Richard",,"=""""","=""""",0,4.06, RosettaBooks ,Kindle Edition,162,2011,1954,,2020/03/21,"to-read, post-apocalyptic","to-read (#73), post-apocalyptic (#3)",to-read,,,,0,,,0,,,,,
11557,Swan Song,Robert R. McCammon,"McCammon, Robert R.",,"=""0671741039""","=""9780671741037""",0,4.28,Pocket Books,Mass Market Paperback,956,1987,1987,,2020/10/17,"to-read, post-apocalyptic","to-read (#251), post-apocalyptic (#2)",to-read,,,,0,,,0,,,,,
149267,The Stand,Stephen King,"King, Stephen",Bernie Wrightson,"=""0385199570""","=""9780385199575""",0,4.34,Doubleday Books,Hardcover,1172,1990,1978,,2020/10/17,"to-read, post-apocalyptic","to-read (#250), post-apocalyptic (#1)",to-read,,,,0,,,0,,,,,
42769202,"Starsight (Skyward, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""1473217903""","=""9781473217904""",0,4.44,Orion Publishing Co,Paperback,461,2019,2019,,2020/10/17,"to-read, 2020","to-read (#249), 2020 (#9)",to-read,,,,0,,,0,,,,,
35305272,The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,"Coyle, Daniel",,"=""""","=""""",5,4.32,Bantam,Kindle Edition,260,2018,2017,2020/10/16,2020/09/30,,,read,,,,1,,,0,,,,,
39673345,Norse Mythology,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",4,4.08,W. W. Norton & Company,Kindle Edition,304,2018,2017,2020/10/16,2020/02/25,,,read,,,,1,,,0,,,,,
4588,Extremely Loud & Incredibly Close,Jonathan Safran Foer,"Foer, Jonathan Safran",,"=""0618711651""","=""9780618711659""",0,3.97,Mariner Books,Paperback,326,2006,2005,,2020/10/16,to-read,to-read (#248),to-read,,,,0,,,0,,,,,
7728889,"The Diviners (The Diviners, #1)",Libba Bray,"Bray, Libba",,"=""""","=""""",0,3.94,"Little, Brown Books for Young Readers",Hardcover,578,2012,2012,,2020/10/16,to-read,to-read (#247),to-read,,,,0,,,0,,,,,
8127,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,"Montgomery, L.M.",,"=""0451528824""","=""9780451528827""",0,4.26,Signet Book,Paperback,320,2003,1908,,2020/10/16,to-read,to-read (#246),to-read,,,,0,,,0,,,,,
3008,A Little Princess,Frances Hodgson Burnett,"Burnett, Frances Hodgson",Nancy Bond,"=""0142437018""","=""9780142437018""",0,4.19,Penguin Books,Paperback,242,2002,1905,,2020/10/16,to-read,to-read (#245),to-read,,,,0,,,0,,,,,
16068905,Fangirl,Rainbow Rowell,"Rowell, Rainbow",,"=""""","=""""",0,4.04,St. Martin's Griffin,Kindle Edition,483,2013,2013,,2020/10/16,to-read,to-read (#244),to-read,,,,0,,,0,,,,,
